date,Open,High,Low,Close,adj. Close,Volume,dividend amount,split coefficient
2019-01-10,152.5,153.97,150.86,153.8,151.1527,35780670.0,0.0,1.0
2019-01-09,151.29,154.53,149.63,153.31,150.6711,45099081.0,0.0,1.0
2019-01-08,149.56,151.82,148.52,150.75,148.1552,41025314.0,0.0,1.0
2019-01-07,148.7,148.83,145.9,147.93,145.3837,54777764.0,0.0,1.0
2019-01-04,144.53,148.5499,143.8,148.26,145.708,58607070.0,0.0,1.0
2019-01-03,143.98,145.72,142.0,142.19,139.7425,91312195.0,0.0,1.0
2019-01-02,154.89,158.85,154.23,157.92,155.2018,37039737.0,0.0,1.0
2018-12-31,158.53,159.36,156.48,157.74,155.0249,35003466.0,0.0,1.0
2018-12-28,157.5,158.52,154.55,156.23,153.5409,42291424.0,0.0,1.0
2018-12-27,155.84,156.77,150.07,156.15,153.4622,53117065.0,0.0,1.0
2018-12-26,148.3,157.23,146.72,157.17,154.4647,58582544.0,0.0,1.0
2018-12-24,148.15,151.55,146.59,146.83,144.3027,37169232.0,0.0,1.0
2018-12-21,156.86,158.16,149.63,150.73,148.1355,95744384.0,0.0,1.0
2018-12-20,160.4,162.11,155.3,156.83,154.1305,64772960.0,0.0,1.0
2018-12-19,166.0,167.45,159.09,160.89,158.1206,49047297.0,0.0,1.0
2018-12-18,165.38,167.53,164.39,166.07,163.2115,33841518.0,0.0,1.0
2018-12-17,165.45,168.35,162.73,163.94,161.1181,44287922.0,0.0,1.0
2018-12-14,169.0,169.08,165.28,165.48,162.6316,40703710.0,0.0,1.0
2018-12-13,170.49,172.57,169.55,170.95,168.0075,31897827.0,0.0,1.0
2018-12-12,170.4,171.92,169.02,169.1,166.1893,35627674.0,0.0,1.0
2018-12-11,171.66,171.79,167.0,168.63,165.7274,47281665.0,0.0,1.0
2018-12-10,165.0,170.09,163.33,169.6,166.6807,62025994.0,0.0,1.0
2018-12-07,173.49,174.49,168.3,168.49,165.5898,42281631.0,0.0,1.0
2018-12-06,171.76,174.78,170.42,174.72,171.7126,43098410.0,0.0,1.0
2018-12-04,180.95,182.3899,176.27,176.69,173.6487,41344282.0,0.0,1.0
2018-12-03,184.46,184.94,181.21,184.82,181.6387,40798002.0,0.0,1.0
2018-11-30,180.29,180.33,177.03,178.58,175.5062,39531549.0,0.0,1.0
2018-11-29,182.66,182.8,177.7,179.55,176.4595,41769992.0,0.0,1.0
2018-11-28,176.73,181.29,174.93,180.94,177.8255,46062539.0,0.0,1.0
2018-11-27,171.51,174.77,170.88,174.24,171.2409,41387377.0,0.0,1.0
2018-11-26,174.24,174.95,170.26,174.62,171.6143,44998520.0,0.0,1.0
2018-11-23,174.94,176.595,172.1,172.29,169.3244,23623972.0,0.0,1.0
2018-11-21,179.73,180.27,176.55,176.78,173.7371,31124210.0,0.0,1.0
2018-11-20,178.37,181.47,175.51,176.98,173.9337,67825247.0,0.0,1.0
2018-11-19,190.0,190.7,184.99,185.86,182.6608,41920872.0,0.0,1.0
2018-11-16,190.5,194.9695,189.46,193.53,190.1988,36928253.0,0.0,1.0
2018-11-15,188.39,191.97,186.9,191.41,188.1153,46478801.0,0.0,1.0
2018-11-14,193.9,194.48,185.93,186.8,183.5847,60800957.0,0.0,1.0
2018-11-13,191.63,197.18,191.4501,192.23,188.9212,46882936.0,0.0,1.0
2018-11-12,199.0,199.85,193.79,194.17,190.8278,51135518.0,0.0,1.0
2018-11-09,205.55,206.01,202.25,204.47,200.9505,34365750.0,0.0,1.0
2018-11-08,209.98,210.12,206.75,208.49,204.9013,25362636.0,0.73,1.0
2018-11-07,205.97,210.06,204.13,209.95,205.6162,33424434.0,0.0,1.0
2018-11-06,201.92,204.72,201.69,203.77,199.5638,31882881.0,0.0,1.0
2018-11-05,204.3,204.39,198.17,201.59,197.4288,66163669.0,0.0,1.0
2018-11-02,209.55,213.65,205.43,207.48,203.1972,91328654.0,0.0,1.0
2018-11-01,219.05,222.36,216.81,222.22,217.633,58323180.0,0.0,1.0
2018-10-31,216.88,220.45,216.62,218.86,214.3423,38358933.0,0.0,1.0
2018-10-30,211.15,215.18,209.27,213.3,208.8971,36659990.0,0.0,1.0
2018-10-29,219.19,219.69,206.09,212.24,207.859,45935520.0,0.0,1.0
2018-10-26,215.9,220.19,212.67,216.3,211.8352,47258375.0,0.0,1.0
2018-10-25,217.71,221.38,216.75,219.8,215.2629,29855768.0,0.0,1.0
2018-10-24,222.6,224.23,214.54,215.09,210.6501,40925163.0,0.0,1.0
2018-10-23,215.83,223.25,214.7,222.73,218.1324,38767846.0,0.0,1.0
2018-10-22,219.79,223.36,218.94,220.65,216.0954,28792082.0,0.0,1.0
2018-10-19,218.06,221.26,217.43,219.31,214.783,33078726.0,0.0,1.0
2018-10-18,217.86,219.74,213.0,216.02,211.561,32581315.0,0.0,1.0
2018-10-17,222.3,222.64,219.34,221.19,216.6242,22885397.0,0.0,1.0
2018-10-16,218.93,222.99,216.7627,222.15,217.5644,29183963.0,0.0,1.0
2018-10-15,221.16,221.83,217.27,217.36,212.8733,30791007.0,0.0,1.0
2018-10-12,220.42,222.88,216.84,222.11,217.5252,40337851.0,0.0,1.0
2018-10-11,214.52,219.5,212.32,214.45,210.0234,53124392.0,0.0,1.0
2018-10-10,225.46,226.35,216.05,216.36,211.8939,41990554.0,0.0,1.0
2018-10-09,223.64,227.27,222.2462,226.87,222.187,26891029.0,0.0,1.0
2018-10-08,222.21,224.8,220.2,223.77,219.151,29663923.0,0.0,1.0
2018-10-05,227.96,228.41,220.58,224.29,219.6602,33580463.0,0.0,1.0
2018-10-04,230.78,232.35,226.73,227.99,223.2839,32042000.0,0.0,1.0
2018-10-03,230.05,233.47,229.78,232.07,227.2797,28654799.0,0.0,1.0
2018-10-02,227.25,230.0,226.63,229.28,224.5472,24788170.0,0.0,1.0
2018-10-01,227.95,229.42,226.35,227.26,222.5689,23600802.0,0.0,1.0
2018-09-28,224.79,225.84,224.02,225.74,221.0803,22929364.0,0.0,1.0
2018-09-27,223.82,226.44,223.54,224.95,220.3066,30181227.0,0.0,1.0
2018-09-26,221.0,223.75,219.76,220.42,215.8701,23984706.0,0.0,1.0
2018-09-25,219.75,222.82,219.7,222.19,217.6036,24554379.0,0.0,1.0
2018-09-24,216.82,221.26,216.63,220.79,216.2325,27693358.0,0.0,1.0
2018-09-21,220.78,221.36,217.29,217.66,213.1671,96246748.0,0.0,1.0
2018-09-20,220.24,222.28,219.15,220.03,215.4882,26608794.0,0.0,1.0
2018-09-19,218.5,219.62,215.3,218.37,213.8624,27123833.0,0.0,1.0
2018-09-18,217.79,221.85,217.12,218.24,213.7351,31571712.0,0.0,1.0
2018-09-17,222.15,222.95,217.27,217.88,213.3826,37195133.0,0.0,1.0
2018-09-14,225.75,226.84,222.522,223.84,219.2195,31999289.0,0.0,1.0
2018-09-13,223.52,228.35,222.57,226.41,221.7365,41706377.0,0.0,1.0
2018-09-12,224.94,225.0,219.84,221.07,216.5067,49278740.0,0.0,1.0
2018-09-11,218.01,224.299,216.56,223.85,219.2293,35749049.0,0.0,1.0
2018-09-10,220.95,221.85,216.47,218.33,213.8233,39516453.0,0.0,1.0
2018-09-07,221.85,225.37,220.71,221.3,216.732,37619810.0,0.0,1.0
2018-09-06,226.23,227.35,221.3,223.1,218.4948,34289976.0,0.0,1.0
2018-09-05,228.99,229.67,225.1,226.87,222.187,33332960.0,0.0,1.0
2018-09-04,228.41,229.18,226.63,228.36,223.6462,27390132.0,0.0,1.0
2018-08-31,226.51,228.87,226.0,227.63,222.9313,43340134.0,0.0,1.0
2018-08-30,223.25,228.26,222.4,225.03,220.385,48793824.0,0.0,1.0
2018-08-29,220.15,223.49,219.41,222.98,218.3773,27254804.0,0.0,1.0
2018-08-28,219.01,220.54,218.92,219.7,215.165,22776766.0,0.0,1.0
2018-08-27,217.15,218.74,216.33,217.94,213.4413,20525117.0,0.0,1.0
